msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node4,node0,315,145,197,52.0,,,,4,,,0,,4,4,5,4
msg_1,node4,node1,315,145,203,58.0,,52.0,,4,,,0,52.0,3,3,5,4
msg_2,node4,node2,315,145,214,69.0,,55.0,,4,,,0,55.0,2,2,5,4
msg_3,node4,node3,315,145,225,80.0,,55.0,,4,,,0,55.0,2,2,5,4
msg_4,node4,node0,315,2025,2077,52.0,,64.75,,4,,52.0,0,64.75,4,4,5,4
msg_5,node4,node1,315,2025,2083,58.0,,62.2,,4,,58.0,0,62.2,3,3,5,4
msg_6,node4,node2,315,2025,2094,69.0,,62.2,,4,,69.0,0,62.2,3,3,5,4
msg_7,node4,node3,315,2025,2105,80.0,,62.57142857142857,,4,,80.0,0,62.57142857142857,1,1,5,4
msg_8,node4,node0,315,3468,3520,52.0,,64.75,,4,,52.0,0,64.75,4,4,5,4
msg_9,node4,node1,315,3468,3526,58.0,,63.333333333333336,,4,,58.0,0,63.333333333333336,3,3,5,4
msg_10,node4,node2,316,3468,3537,69.0,,62.8,,4,,69.0,0,62.8,2,2,5,4
msg_11,node4,node3,316,3468,3548,80.0,,62.8,,4,,80.0,0,62.8,2,2,5,4
msg_12,node4,node0,316,3761,3815,54.0,,64.75,,4,,52.0,0,64.75,4,4,5,4
msg_13,node4,node1,316,3761,3821,60.0,,63.92307692307692,,4,,58.0,0,63.92307692307692,3,3,5,4
msg_14,node4,node2,316,3761,3832,71.0,,63.92307692307692,,4,,69.0,0,63.92307692307692,3,3,5,4
msg_15,node4,node3,316,3761,3843,82.0,,64.13333333333334,,4,,80.0,0,64.13333333333334,1,1,5,4
msg_16,node4,node0,316,4445,4499,54.0,,65.25,,4,,52.5,0,65.25,4,4,5,4
msg_17,node4,node1,316,4445,4505,60.0,,64.58823529411765,,4,,58.5,0,64.58823529411765,3,3,5,4
msg_18,node4,node2,316,4445,4522,77.0,,64.58823529411765,,4,,69.5,0,64.58823529411765,3,3,5,4
msg_19,node4,node3,316,4445,4527,82.0,,64.58823529411765,,4,,80.5,0,64.58823529411765,3,3,5,4
msg_20,node4,node0,316,5042,5096,54.0,,65.85,,4,,52.8,0,65.85,4,4,5,4
msg_21,node4,node1,316,5042,5102,60.0,,65.28571428571429,,4,,58.8,0,65.28571428571429,3,3,5,4
msg_22,node4,node2,316,5042,5119,77.0,,65.28571428571429,,4,,71.0,0,65.28571428571429,3,3,5,4
msg_23,node4,node3,316,5042,5124,82.0,,65.56521739130434,,4,,80.8,0,65.56521739130434,1,1,5,4
msg_24,node4,node0,316,6098,6151,53.0,,66.25,,4,,53.0,0,66.25,4,4,5,4
msg_25,node4,node1,316,6098,6157,59.0,,66.25,,4,,59.0,0,66.25,4,4,5,4
msg_26,node4,node2,316,6098,6168,70.0,,65.46153846153847,,4,,72.0,0,65.46153846153847,2,2,5,4
msg_27,node4,node3,316,6098,6179,81.0,,65.46153846153847,,4,,81.0,0,65.46153846153847,2,2,5,4
msg_28,node4,node0,316,7651,7705,54.0,,66.17857142857143,,4,,53.0,0,66.17857142857143,4,4,5,4
msg_29,node4,node1,316,7651,7711,60.0,,65.75862068965517,,4,,59.0,0,65.75862068965517,3,3,5,4
msg_30,node4,node2,316,7651,7728,77.0,,65.75862068965517,,4,,71.71428571428571,0,65.75862068965517,3,3,5,4
msg_31,node4,node3,316,7651,7733,82.0,,65.93548387096774,,4,,81.0,0,65.93548387096774,1,1,5,4
msg_32,node4,node0,316,7751,7799,48.0,,66.4375,,4,,53.125,0,66.4375,8,4,5,4
msg_33,node4,node1,316,7751,7810,59.0,,66.4375,,4,,59.125,0,66.4375,8,4,5,4
msg_34,node4,node2,316,7751,7821,70.0,,65.67647058823529,,4,,72.375,0,65.67647058823529,6,4,5,4
msg_35,node4,node3,316,7751,7865,114.0,,65.67647058823529,,4,,81.125,0,65.67647058823529,6,4,5,4
msg_36,node4,node0,316,7780,7832,52.0,,65.67647058823529,,4,,52.55555555555556,0,65.67647058823529,6,4,5,4
msg_37,node4,node1,316,7780,7843,63.0,,65.67647058823529,,4,,59.111111111111114,0,65.67647058823529,6,4,5,4
msg_38,node4,node2,316,7780,7854,74.0,,65.67647058823529,,4,,72.375,0,65.67647058823529,6,4,5,4
msg_39,node4,node3,316,7780,7876,96.0,,65.67647058823529,,4,,81.125,0,65.67647058823529,6,4,5,4
msg_40,node4,node0,316,9585,9639,54.0,,67.55,,4,,52.5,0,67.55,4,4,5,4
msg_41,node4,node1,316,9585,9645,60.0,,67.21951219512195,,4,,59.5,0,67.21951219512195,3,3,5,4
msg_42,node4,node2,316,9585,9656,71.0,,67.04761904761905,,4,,72.3,0,67.04761904761905,2,2,5,4
msg_43,node4,node3,316,9585,9667,82.0,,67.04761904761905,,4,,85.9,0,67.04761904761905,2,2,5,4
msg_44,node4,node0,316,10152,10206,54.0,,67.47727272727273,,4,,52.63636363636363,0,67.47727272727273,4,4,5,4
msg_45,node4,node1,316,10152,10212,60.0,,67.17777777777778,,4,,59.54545454545455,0,67.17777777777778,3,3,5,4
msg_46,node4,node2,316,10152,10223,71.0,,67.17777777777778,,4,,72.18181818181819,0,67.17777777777778,3,3,5,4
msg_47,node4,node3,316,10152,10234,82.0,,67.17777777777778,,4,,85.54545454545455,0,67.17777777777778,3,3,5,4
msg_48,node4,node0,316,11590,11643,53.0,,67.41666666666667,,4,,52.75,0,67.41666666666667,8,4,5,4
msg_49,node4,node1,316,11590,11654,64.0,,66.8,,4,,59.583333333333336,0,66.8,6,3,5,4
msg_50,node4,node2,316,11590,11665,75.0,,66.8,,4,,72.08333333333333,0,66.8,6,3,5,4
msg_51,node4,node3,316,11590,11676,86.0,,66.8,,4,,85.25,0,66.8,6,3,5,4
msg_52,node4,node0,316,11592,11643,51.0,,67.41666666666667,,4,,52.75,0,67.41666666666667,8,4,5,4
msg_53,node4,node1,316,11592,11654,62.0,,66.8,,4,,59.583333333333336,0,66.8,6,3,5,4
msg_54,node4,node2,316,11592,11665,73.0,,66.8,,4,,72.08333333333333,0,66.8,6,3,5,4
msg_55,node4,node3,316,11592,11676,84.0,,66.8,,4,,85.25,0,66.8,6,3,5,4
msg_56,node4,node0,316,12180,12233,53.0,,67.57142857142857,,4,,52.642857142857146,0,67.57142857142857,4,4,5,4
msg_57,node4,node1,316,12180,12239,59.0,,67.3157894736842,,4,,60.07142857142857,0,67.3157894736842,3,3,5,4
msg_58,node4,node2,316,12180,12250,70.0,,67.17241379310344,,4,,72.35714285714286,0,67.17241379310344,2,2,5,4
msg_59,node4,node3,316,12180,12261,81.0,,67.17241379310344,,4,,85.21428571428571,0,67.17241379310344,2,2,5,4
msg_60,node4,node0,316,13460,13513,53.0,,67.45,,4,,52.666666666666664,0,67.45,4,4,5,4
msg_61,node4,node1,316,13460,13519,59.0,,67.21311475409836,,4,,60.0,0,67.21311475409836,3,3,5,4
msg_62,node4,node2,316,13460,13530,70.0,,67.21311475409836,,4,,72.2,0,67.21311475409836,3,3,5,4
msg_63,node4,node3,316,13460,13541,81.0,,67.21311475409836,,4,,84.93333333333334,0,67.21311475409836,3,3,5,4
msg_64,node4,node0,316,13720,13774,,,67.34375,,4,,52.6875,0,67.34375,4,4,5,4
msg_65,node4,node1,316,13720,13778,,58.0,67.34375,,4,,59.9375,0,67.34375,4,4,5,4
msg_66,node4,node2,316,13720,13792,,72.0,67.34375,,4,,72.0625,0,67.34375,4,4,5,4
msg_67,node4,node3,316,13720,13824,,104.0,67.34375,,4,,84.6875,0,67.34375,4,4,5,4
msg_68,node4,node0,316,16625,16678,,53.0,67.61764705882354,,4,,52.76470588235294,0,67.61764705882354,4,4,5,4
msg_69,node4,node1,316,16625,16683,,58.0,67.61764705882354,,4,,59.8235294117647,0,67.61764705882354,4,4,5,4
msg_70,node4,node2,316,16625,16697,,72.0,67.61764705882354,,4,,72.05882352941177,0,67.61764705882354,4,4,5,4
msg_71,node4,node3,316,16625,16729,,104.0,67.61764705882354,,4,,85.82352941176471,0,67.61764705882354,4,4,5,4
msg_72,node4,node0,316,18942,18995,,53.0,67.84722222222223,,4,,52.77777777777778,0,67.84722222222223,4,4,5,4
msg_73,node4,node1,316,18942,19000,,58.0,67.84722222222223,,4,,59.72222222222222,0,67.84722222222223,4,4,5,4
msg_74,node4,node2,316,18942,19014,,72.0,67.84722222222223,,4,,72.05555555555556,0,67.84722222222223,4,4,5,4
msg_75,node4,node3,316,18942,19046,,104.0,67.84722222222223,,4,,86.83333333333333,0,67.84722222222223,4,4,5,4
msg_76,node4,node0,316,18995,19048,,53.0,68.05263157894737,,4,,52.78947368421053,0,68.05263157894737,4,4,5,4
msg_77,node4,node1,316,18995,19053,,58.0,68.05263157894737,,4,,59.63157894736842,0,68.05263157894737,4,4,5,4
msg_78,node4,node2,316,18995,19067,,72.0,68.05263157894737,,4,,72.05263157894737,0,68.05263157894737,4,4,5,4
msg_79,node4,node3,316,18995,19099,,104.0,68.05263157894737,,4,,87.73684210526316,0,68.05263157894737,4,4,5,4
msg_80,node4,node0,316,19000,19053,,53.0,68.2375,,4,,52.8,0,68.2375,4,4,5,4
msg_81,node4,node1,316,19000,19058,,58.0,68.2375,,4,,59.55,0,68.2375,4,4,5,4
msg_82,node4,node2,316,19000,19072,,72.0,68.2375,,4,,72.05,0,68.2375,4,4,5,4
msg_83,node4,node3,316,19000,19104,,104.0,68.2375,,4,,88.55,0,68.2375,4,4,5,4
msg_84,node4,node0,316,19777,19830,,53.0,68.4047619047619,,4,,52.80952380952381,0,68.4047619047619,4,4,5,4
msg_85,node4,node1,316,19777,19835,,58.0,68.4047619047619,,4,,59.476190476190474,0,68.4047619047619,4,4,5,4
msg_86,node4,node2,316,19777,19849,,72.0,68.4047619047619,,4,,72.04761904761905,0,68.4047619047619,4,4,5,4
