msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node1,node0,223,12000,12000.0,0.0,,,,,,1,,,0,,9,9,10,9
msg_1,node2,node0,223,12000,12001.0,1.0,,,,,,1,,0.0,0,0.0,8,8,10,9
msg_2,node3,node0,223,12000,12001.0,1.0,,,,,,1,,0.0,0,0.0,8,8,10,9
msg_3,node4,node0,223,12000,12002.0,2.0,,,,,,1,,1.3333333333333333,0,1.3333333333333333,3,3,10,9
msg_4,node5,node0,223,12000,12003.0,3.0,,,,,,1,,1.5,0,1.5,1,1,10,9
msg_5,node6,node0,223,12000,12002.0,2.0,,,,,,1,,0.6666666666666666,0,0.6666666666666666,6,6,10,9
msg_6,node7,node0,223,12000,12002.0,2.0,,,,,,1,,1.0,0,1.0,5,5,10,9
msg_7,node8,node0,223,12000,12002.0,2.0,,,,,,1,,1.0,0,1.0,5,5,10,9
msg_8,node9,node0,223,12000,12002.0,2.0,,,,,,1,,1.3333333333333333,0,1.3333333333333333,3,3,10,9
msg_9,node1,node0,223,24000,24002.0,2.0,,,,0.0,,1,,1.6666666666666667,0,1.6666666666666667,9,9,10,9
msg_10,node2,node0,223,24000,24002.0,2.0,,,,1.0,,1,,1.7,0,1.7,8,8,10,9
msg_11,node3,node0,223,24000,24003.0,3.0,,,,1.0,,1,,1.7272727272727273,0,1.7272727272727273,7,7,10,9
msg_12,node4,node0,223,24000,24004.0,4.0,,,,2.0,,1,,2.125,0,2.125,2,2,10,9
msg_13,node5,node0,223,24000,24004.0,4.0,,,,3.0,,1,,2.125,0,2.125,2,2,10,9
msg_14,node6,node0,223,24000,24003.0,3.0,,,,2.0,,1,,1.7272727272727273,0,1.7272727272727273,7,7,10,9
msg_15,node7,node0,223,24000,24003.0,3.0,,,,2.0,,1,,1.9230769230769231,0,1.9230769230769231,5,5,10,9
msg_16,node8,node0,223,24000,24003.0,3.0,,,,2.0,,1,,2.0,0,2.0,4,4,10,9
