msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node1,node0,415,60000,60000.0,0.0,,,,,,1,,,0,,9,9,10,9
msg_1,node2,node0,415,60000,60001.0,1.0,,,,,,1,,0.0,0,0.0,8,8,10,9
msg_2,node3,node0,415,60000,60002.0,2.0,,,,,,1,,0.5,0,0.5,7,7,10,9
msg_3,node4,node0,415,60000,60002.0,2.0,,,,,,1,,1.0,0,1.0,6,6,10,9
msg_4,node5,node0,415,60000,60003.0,3.0,,,,,,1,,1.8333333333333333,0,1.8333333333333333,3,3,10,9
msg_5,node6,node0,415,60000,60003.0,3.0,,,,,,1,,1.0,0,1.0,6,6,10,9
msg_6,node7,node0,415,60000,60003.0,3.0,,,,,,1,,1.6,0,1.6,4,4,10,9
msg_7,node8,node0,415,60000,60004.0,4.0,,,,,,1,,1.8333333333333333,0,1.8333333333333333,3,3,10,9
msg_8,node9,node0,415,60000,60004.0,4.0,,,,,,1,,2.25,0,2.25,1,1,10,9
msg_9,node0,node4,415,65003,120002.0,54999.0,,,,54997.5,2.4,3,2.0,,0,9168.25,9,9,10,3
msg_10,node0,node6,415,65003,120000.0,54997.0,,,,,2.4444444444444446,3,3.0,,0,2.4444444444444446,12,12,10,3
msg_11,node0,node7,415,65003,120001.0,54998.0,,,,54997.0,2.4444444444444446,3,3.0,,0,5501.9,11,11,10,3
msg_12,node1,node0,415,120000,120002.0,2.0,,,,0.0,,1,54997.0,2.4444444444444446,0,5501.9,11,11,10,9
msg_13,node2,node0,415,120000,120097.0,97.0,,,,1.0,,1,54998.0,2.4,0,12693.692307692309,8,8,10,9
msg_14,node3,node0,415,120000,120098.0,98.0,,,,2.0,,1,54998.0,2.4,0,12693.692307692309,8,8,10,9
msg_15,node4,node0,415,120000,120099.0,99.0,,,,2.0,54999.0,1,54998.0,24.384615384615383,0,10331.9375,5,5,10,9
