msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node0,node1,315,1000,1000.0,0.0,,,,,,1,,,0,,1,1,2,1
msg_1,node0,node2,315,6000,6000.0,0.0,,,,0.0,,1,,,0,0.0,1,1,3,1
msg_2,node0,node3,315,11000,11000.0,0.0,,,,0.0,,1,,,0,0.0,2,2,4,2
msg_3,node1,node0,315,11000,11000.0,0.0,,,,,0.0,1,0.0,,1,0.0,2,2,4,2
msg_4,node0,node4,315,16000,16001.0,1.0,,,,0.0,0.0,1,,,0,0.0,1,1,5,2
msg_5,node1,node2,315,16000,16000.0,0.0,,,,0.0,0.0,1,,0.0,0,0.0,2,2,5,2
msg_6,node1,node3,315,21000,21000.0,0.0,,,,0.0,0.0,1,,0.0,0,0.16666666666666666,2,2,5,2
msg_7,node2,node0,315,21000,21000.0,0.0,,,,,0.0,1,0.25,0.0,0,0.14285714285714285,1,1,5,2
msg_8,node1,node4,315,26000,26001.0,1.0,,,,0.0,0.0,1,,1.0,0,0.125,2,2,5,2
msg_9,node2,node1,315,26000,26000.0,0.0,,,,0.0,0.0,1,0.0,0.0,1,0.125,2,2,5,2
msg_10,node2,node3,315,31000,31000.0,0.0,,,,0.0,0.0,1,,0.0,1,0.2,2,2,5,2
msg_11,node3,node0,315,31000,31000.0,0.0,,,,,0.0,1,0.25,0.0,0,0.2,2,2,5,2
msg_12,node2,node4,315,36000,36001.0,1.0,,,,0.0,0.0,1,,1.0,0,0.15384615384615385,1,1,5,2
msg_13,node3,node1,315,36000,36000.0,0.0,,,,0.0,0.0,1,0.25,0.0,0,0.16666666666666666,2,2,5,2
msg_14,node3,node2,315,41000,41000.0,0.0,,,,0.0,0.0,1,0.25,0.0,0,0.21428571428571427,2,2,5,2
msg_15,node4,node0,315,41000,41001.0,1.0,,,,,1.0,1,0.25,0.0,0,0.21428571428571427,2,2,5,2
msg_16,node3,node4,315,46000,46001.0,1.0,,,,0.0,0.0,1,1.0,1.0,1,0.25,2,2,5,2
msg_17,node4,node1,315,46000,46001.0,1.0,,,,1.0,1.0,1,0.25,0.0,0,0.25,2,2,5,2
msg_18,node4,node2,315,51000,51001.0,1.0,,,,1.0,1.0,1,0.25,0.0,0,0.3333333333333333,1,1,5,1
msg_19,node4,node3,315,56000,,,,,,1.0,1.0,1,0.25,0.0,0,0.3684210526315789,1,1,5,1
